pressure (mbar),S (L/s)
1.05345E-06,0.036449502
1.10975E-06,0.044084657
1.23155E-06,0.068089168
1.36672E-06,0.108060756
1.59778E-06,0.186061364
1.9423E-06,0.42037657
2.27068E-06,0.806908597
3.06324E-06,2.595368171
3.58113E-06,4.348983547
3.97417E-06,6.717046042
4.41034E-06,9.306175653
5.72187E-06,22.19996892
6.68924E-06,33.36902497
8.67845E-06,55.91551219
1.09699E-05,79.60212067
1.5794E-05,113.3227143
2.21553E-05,133.3869765
3.36033E-05,148.7000343
6.1155E-05,148.7000343
0.000162341,144.7143701
0.000368623,144.7143701
0.000804969,140.8355352
0.001503612,133.3869765
0.00253085,126.3323598
0.004150405,119.65085
0.00735926,113.3227143
0.012068639,107.3292633
0.016494406,101.6527959
0.020313696,96.27654753
0.026354469,91.18464003
0.042108702,86.36203514
0.067280537,81.79448981
0.119298001,77.46851444
0.154774173,75.39209606
0.200800051,71.40473269
0.260512847,67.62825439
0.320834754,64.05150781
0.474110307,57.45551444
0.647974312,51.53877328
0.908955692,46.23133531
1.179255852,41.47045469
1.611708262,37.19984728
2.202748043,33.36902497
2.933166278,29.93269889
4.334456745,26.850244
7.108186172,23.43965346
11.35733358,21.02584926
14.73471393,19.38006888
24.1638332,18.35508907
47.54837491,17.86311056
74.01959997,16.02357606
91.158883,15.1761156
112.2667774,13.98821813
127.8744915,12.89330232
145.6520438,11.56555627
170.2769172,10.66027224
199.0650305,9.825848544
238.8585016,9.05673865
326.451821,8.124080075
391.7101491,7.694410906
470.0137387,7.092137472
563.9703621,6.717046042
731.6807143,6.537006475
901.1018252,6.191275006
