pressure (mbar),S (L/s)
0.000721118,0.167880596
0.00075156,1.940217668
0.000785314,3.801165062
0.000831256,6.282450026
0.000891329,9.384072559
0.000963181,12.66288308
0.001048927,16.29616754
0.001133484,19.75226402
0.001221696,23.20839316
0.001320181,26.48720368
0.001441428,30.29774145
0.001553605,33.6652276
0.001731725,38.45057689
0.001866494,41.81806304
0.002043189,45.0080673
0.002242398,47.75482399
0.002525459,50.94446901
0.002750284,53.29243028
0.003049798,55.72880591
0.003295651,57.67797174
0.003542963,59.71584586
0.003928803,61.93061405
0.004379237,64.76581778
0.004983281,67.68940323
0.005511713,70.17013302
0.006191442,72.82795282
0.006795103,74.95420866
0.007593755,77.43480781
0.008530251,80.18127059
0.009782408,83.10475807
0.010680837,85.05379327
0.01163168,87.00286112
0.013032429,89.48342762
0.014564176,91.78674082
0.016318071,94.17866434
0.018188925,96.48201019
0.02064437,98.91809191
0.0224822,100.3796234
0.025254807,102.6828713
0.028812658,105.0745662
0.033471792,107.6433184
0.037990373,109.6361853
0.043906065,111.7174665
0.050742923,113.6657832
0.057742078,115.3040454
0.0669061,117.1636865
0.077524508,118.6687557
0.089596281,120.0852146
0.105710872,121.7230196
0.124723798,123.0948957
0.147918903,124.422385
0.169194129,125.3071166
0.198595903,126.2801646
0.234314928,127.2531473
0.275033093,127.9159449
0.328720145,128.7557998
0.390861603,129.2854697
0.461161116,129.859559
0.549758192,130.2562317
0.632088656,130.5203971
0.730514702,130.6958542
0.835584875,130.8271205
0.955767326,130.8697438
1.070865876,130.7796639
1.175274385,130.6455238
1.276597847,130.5115142
1.401065047,130.2887311
1.521854509,130.0217571
1.644535658,129.621884
1.823630472,129.1330413
2.043241687,128.5111035
2.295223488,127.5345612
2.538611171,126.6025362
2.757471442,125.8037044
3.002950674,125.0048399
3.278745537,123.8956923
3.561414718,122.7422885
3.898561608,121.4115008
4.278668037,120.0806804
4.623583999,118.838699
4.983409466,117.5967502
5.399071399,116.0001642
5.804229187,114.7582481
6.304626881,113.0729864
6.973175514,111.0329242
7.792757434,108.593838
8.70866771,106.3320378
9.533087349,104.0261773
10.43555196,102.0748887
11.27679237,100.1237634
11.93650088,98.79340029
12.50486852,97.37452478
13.1681845,96.13286991
14.08337384,94.31483974
15.21867585,92.40803595
16.31849152,90.41268716
17.5430658,88.55027018
18.76230955,86.55495404
20.27479428,84.51518578
22.13685754,82.032072
23.73663292,79.94808023
25.38632983,78.13005005
27.22093645,76.26766572
28.51708678,73.96236042
29.64423429,71.03665223
30.81593267,68.37687298
32.03394284,66.47055906
33.30009526,63.94374427
34.70586669,61.63850428
35.98451347,59.86518749
37.11792577,58.18057899
38.68486782,56.14126793
40.73689186,54.45639817
43.12005839,52.3282482
46.11690413,49.75675269
49.32203077,47.36254315
53.85182969,44.61350043
58.49453599,42.30773792
63.86674962,40.48944648
72.1148543,38.00590815
83.12915305,35.43346558
93.86491086,33.43746363
104.897185,32.01777168
116.3207998,30.59817771
126.3491184,29.62205989
138.6680496,28.55716847
152.1880661,27.669563
167.0262727,26.82627903
185.6951983,26.02715325
206.4507944,25.09506301
230.1202205,24.34022607
258.4996863,23.58529115
291.1304274,22.91896656
324.5083088,22.29709409
365.4714015,21.71941247
406.3210134,21.18621564
452.9054076,20.74162912
504.8306669,20.38568559
554.0512261,20.07425949
623.9898105,19.62954235
691.9441527,19.27366413
771.2750218,18.9177206
866.392144,18.5173576
978.282809,18.24989376
1107.482001,18.07104024
1228.090078,17.98109096
1365.356641,17.979752
1494.610261,17.97860899
